"observation","x","map_component","component_1","component_2","component_3"
1337,0.59338,1,0.975328616300796,0.00113690383899449,0.0235344798602095
1338,0.59373,1,0.97515328202837,0.00117417123336757,0.023672546738262
1339,0.73256,2,0.00560330246690619,0.94669584005044,0.0477008574826542
1340,0.7272,2,0.00843985954436574,0.942288357844541,0.0492717826110938
1341,0.5309,1,0.985098762327615,3.12195360417796e-06,0.0148981157187807
1342,0.46644,1,0.969109906206522,6.04952419701339e-09,0.0308900877439542
1343,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1344,0.99529,3,1.61970235084998e-47,4.31305308681646e-37,1
1345,0.66666,1,0.4988059354722,0.396514812871364,0.104679251656436
1346,0.72066,2,0.0139470727620292,0.9336505486525,0.0524023785854712
1347,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1348,0.4972,1,0.981226347218245,1.20594422258212e-07,0.018773532187333
1349,0.61674,1,0.95298597645847,0.00947009586032354,0.0375439276812063
1350,0.50228,1,0.982248840517332,1.97320314497223e-07,0.0177509621623539
1351,0.98154,3,1.54306989309106e-31,1.78797694298303e-22,1
1352,0.93112,3,4.03254384103538e-16,9.71685758804359e-09,0.999999990283142
1353,0.75945,2,0.000752282492692981,0.945708327991953,0.0535393895153538
1354,0.54882,1,0.984899013633069,1.73333270539938e-05,0.0150836530398769
1355,0.74019,2,0.00314220357036375,0.949908029326439,0.0469497671031975
1356,0.7779,2,0.000199668339236646,0.921982794549429,0.0778175371113343
1357,0.81338,2,1.52442881758867e-05,0.697528614089314,0.30245614162251
1358,0.58521,1,0.978721043303213,0.000533750080830856,0.0207452066159564
1359,0.72587,2,0.00934588246099206,0.940856139604548,0.0497979779344595
1360,0.91682,3,6.111724322751e-14,7.18540957916006e-07,0.999999281458981
1361,0.89845,3,1.17235479432292e-11,5.66013526772495e-05,0.999943398635599
1362,0.53135,1,0.985111201322928,3.25980392472471e-06,0.0148855388731476
1363,0.58998,1,0.976892703333091,0.000830583267623565,0.0222767133992851
1364,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1365,0.96274,3,2.6791836028902e-23,4.52605083884048e-15,0.999999999999995
1366,0.75072,2,0.00142983245445874,0.94969182526091,0.0488783422846316
1367,0.78983,2,8.5984318616043e-05,0.886702526305886,0.113211489375498
1368,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1369,0.78774,2,9.96388058457376e-05,0.894658486692879,0.105241874501275
1370,0.79377,2,6.50871815844552e-05,0.868985344064803,0.130949568753612
1371,0.49598,1,0.980950921402547,1.07135910606173e-07,0.0190489714615421
