"observation","hour","map_component","prob_component_1","prob_component_2","prob_component_3"
742,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
743,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
744,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
745,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
746,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
747,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
748,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
749,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
750,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
751,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
752,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
753,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
754,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
755,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
756,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
757,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
758,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
759,1,"2",0.757679004928895,0.216443111013307,0.0258778840577979
760,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
761,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
