"observation","map_component","hour","sin_1","cos_1","sin_2","cos_2"
342,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
343,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
344,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
345,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
346,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
347,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
348,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
349,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
350,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
351,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
352,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
353,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
354,"2",0,0,1,0,1
355,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
356,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
357,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
358,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
359,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
360,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
361,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
362,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
363,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
364,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
365,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
366,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
367,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
368,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
369,"1",0,0,1,0,1
370,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
371,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
372,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
373,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
374,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
375,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
376,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
377,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
378,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
379,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
380,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
381,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
382,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
383,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
384,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
385,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
386,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
387,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
388,"2",0,0,1,0,1
389,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
390,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
391,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
392,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
393,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
394,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
395,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
396,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
397,"2",0,0,1,0,1
398,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
399,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
400,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
401,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
402,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
403,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
404,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
405,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
